row,origin,destination,issue,detail
BGC (Market! Market!), Taguig City,"BGC (Market! Market!), Taguig City","",geocode_failed,"BGC (Market! Market!), Taguig City"
5,"Ayala Center, Makati City","BGC (Market! Market!), Taguig City",geocode_failed,"origin or destination place"
BF Resort Village Entrance, Las Piñas City,"BF Resort Village Entrance, Las Piñas City","",geocode_failed,"BF Resort Village Entrance, Las Piñas City"
23,"BF Resort Village Entrance, Las Piñas City","SM Southmall, Las Piñas City",geocode_failed,"origin or destination place"
Fairview (Robinsons Novaliches), Quezon City,"Fairview (Robinsons Novaliches), Quezon City","",geocode_failed,"Fairview (Robinsons Novaliches), Quezon City"
Cubao (Farmers Plaza), Quezon City,"Cubao (Farmers Plaza), Quezon City","",geocode_failed,"Cubao (Farmers Plaza), Quezon City"
26,"Fairview (Robinsons Novaliches), Quezon City","Cubao (Farmers Plaza), Quezon City",geocode_failed,"origin or destination place"
SM Megamall (Ortigas), Mandaluyong City,"SM Megamall (Ortigas), Mandaluyong City","",geocode_failed,"SM Megamall (Ortigas), Mandaluyong City"
27,"SM Megamall (Ortigas), Mandaluyong City","Trinoma, Quezon City",geocode_failed,"origin or destination place"
BGC (Market! Market!), Taguig City,"BGC (Market! Market!), Taguig City","",geocode_failed,"BGC (Market! Market!), Taguig City"
28,"BGC (Market! Market!), Taguig City","NAIA Terminal 3, Pasay City",geocode_failed,"origin or destination place"
Pasig (Robinsons Metro East), Pasig City,"Pasig (Robinsons Metro East), Pasig City","",geocode_failed,"Pasig (Robinsons Metro East), Pasig City"
35,"Pasig (Robinsons Metro East), Pasig City","Cubao (Araneta Center), Quezon City",geocode_failed,"origin or destination place"
SM Megamall (Ortigas), Mandaluyong City,"SM Megamall (Ortigas), Mandaluyong City","",geocode_failed,"SM Megamall (Ortigas), Mandaluyong City"
36,"Gateway Mall (Cubao), Quezon City","SM Megamall (Ortigas), Mandaluyong City",geocode_failed,"origin or destination place"
SM Megamall (Ortigas), Mandaluyong City,"SM Megamall (Ortigas), Mandaluyong City","",geocode_failed,"SM Megamall (Ortigas), Mandaluyong City"
37,"NAIA Terminal 3, Pasay City","SM Megamall (Ortigas), Mandaluyong City",geocode_failed,"origin or destination place"
BGC (Bonifacio High Street), Taguig City,"BGC (Bonifacio High Street), Taguig City","",geocode_failed,"BGC (Bonifacio High Street), Taguig City"
38,"NAIA Terminal 3, Pasay City","BGC (Bonifacio High Street), Taguig City",geocode_failed,"origin or destination place"
Escolta (Lawton), Manila,"Escolta (Lawton), Manila","",geocode_failed,"Escolta (Lawton), Manila"
39,"Escolta (Lawton), Manila","Guadalupe, Makati City",geocode_failed,"origin or destination place"
North Avenue MRT-3 Station, Quezon City,"North Avenue MRT-3 Station, Quezon City","",geocode_failed,"North Avenue MRT-3 Station, Quezon City"
Taft Avenue MRT-3 Station, Pasay City,"Taft Avenue MRT-3 Station, Pasay City","",geocode_failed,"Taft Avenue MRT-3 Station, Pasay City"
40,"North Avenue MRT-3 Station, Quezon City","Taft Avenue MRT-3 Station, Pasay City",geocode_failed,"origin or destination place"
North Avenue MRT-3 Station, Quezon City,"North Avenue MRT-3 Station, Quezon City","",geocode_failed,"North Avenue MRT-3 Station, Quezon City"
Araneta-Cubao MRT-3 Station, Quezon City,"Araneta-Cubao MRT-3 Station, Quezon City","",geocode_failed,"Araneta-Cubao MRT-3 Station, Quezon City"
41,"North Avenue MRT-3 Station, Quezon City","Araneta-Cubao MRT-3 Station, Quezon City",geocode_failed,"origin or destination place"
Araneta-Cubao MRT-3 Station, Quezon City,"Araneta-Cubao MRT-3 Station, Quezon City","",geocode_failed,"Araneta-Cubao MRT-3 Station, Quezon City"
Ayala MRT-3 Station, Makati City,"Ayala MRT-3 Station, Makati City","",geocode_failed,"Ayala MRT-3 Station, Makati City"
42,"Araneta-Cubao MRT-3 Station, Quezon City","Ayala MRT-3 Station, Makati City",geocode_failed,"origin or destination place"
Quezon Avenue MRT-3 Station, Quezon City,"Quezon Avenue MRT-3 Station, Quezon City","",geocode_failed,"Quezon Avenue MRT-3 Station, Quezon City"
Ayala MRT-3 Station, Makati City,"Ayala MRT-3 Station, Makati City","",geocode_failed,"Ayala MRT-3 Station, Makati City"
43,"Quezon Avenue MRT-3 Station, Quezon City","Ayala MRT-3 Station, Makati City",geocode_failed,"origin or destination place"
Ortigas MRT-3 Station, Mandaluyong City,"Ortigas MRT-3 Station, Mandaluyong City","",geocode_failed,"Ortigas MRT-3 Station, Mandaluyong City"
Boni MRT-3 Station, Mandaluyong City,"Boni MRT-3 Station, Mandaluyong City","",geocode_failed,"Boni MRT-3 Station, Mandaluyong City"
44,"Ortigas MRT-3 Station, Mandaluyong City","Boni MRT-3 Station, Mandaluyong City",geocode_failed,"origin or destination place"
Guadalupe MRT-3 Station, Makati City,"Guadalupe MRT-3 Station, Makati City","",geocode_failed,"Guadalupe MRT-3 Station, Makati City"
Taft Avenue MRT-3 Station, Pasay City,"Taft Avenue MRT-3 Station, Pasay City","",geocode_failed,"Taft Avenue MRT-3 Station, Pasay City"
45,"Guadalupe MRT-3 Station, Makati City","Taft Avenue MRT-3 Station, Pasay City",geocode_failed,"origin or destination place"
Ayala MRT-3 Station, Makati City,"Ayala MRT-3 Station, Makati City","",geocode_failed,"Ayala MRT-3 Station, Makati City"
Magallanes MRT-3 Station, Makati City,"Magallanes MRT-3 Station, Makati City","",geocode_failed,"Magallanes MRT-3 Station, Makati City"
46,"Ayala MRT-3 Station, Makati City","Magallanes MRT-3 Station, Makati City",geocode_failed,"origin or destination place"
Shaw Boulevard MRT-3 Station, Mandaluyong City,"Shaw Boulevard MRT-3 Station, Mandaluyong City","",geocode_failed,"Shaw Boulevard MRT-3 Station, Mandaluyong City"
North Avenue MRT-3 Station, Quezon City,"North Avenue MRT-3 Station, Quezon City","",geocode_failed,"North Avenue MRT-3 Station, Quezon City"
47,"Shaw Boulevard MRT-3 Station, Mandaluyong City","North Avenue MRT-3 Station, Quezon City",geocode_failed,"origin or destination place"
Dr. Santos LRT-1 Station, Parañaque City,"Dr. Santos LRT-1 Station, Parañaque City","",geocode_failed,"Dr. Santos LRT-1 Station, Parañaque City"
Fernando Poe Jr. LRT-1 Station, Quezon City,"Fernando Poe Jr. LRT-1 Station, Quezon City","",geocode_failed,"Fernando Poe Jr. LRT-1 Station, Quezon City"
48,"Dr. Santos LRT-1 Station, Parañaque City","Fernando Poe Jr. LRT-1 Station, Quezon City",geocode_failed,"origin or destination place"
PITX LRT-1 Station, Parañaque City,"PITX LRT-1 Station, Parañaque City","",geocode_failed,"PITX LRT-1 Station, Parañaque City"
Central Terminal LRT-1 Station, Manila City,"Central Terminal LRT-1 Station, Manila City","",geocode_failed,"Central Terminal LRT-1 Station, Manila City"
49,"PITX LRT-1 Station, Parañaque City","Central Terminal LRT-1 Station, Manila City",geocode_failed,"origin or destination place"
Baclaran LRT-1 Station, Parañaque City,"Baclaran LRT-1 Station, Parañaque City","",geocode_failed,"Baclaran LRT-1 Station, Parañaque City"
Doroteo Jose LRT-1 Station, Manila City,"Doroteo Jose LRT-1 Station, Manila City","",geocode_failed,"Doroteo Jose LRT-1 Station, Manila City"
50,"Baclaran LRT-1 Station, Parañaque City","Doroteo Jose LRT-1 Station, Manila City",geocode_failed,"origin or destination place"
EDSA LRT-1 Station, Pasay City,"EDSA LRT-1 Station, Pasay City","",geocode_failed,"EDSA LRT-1 Station, Pasay City"
Gil Puyat LRT-1 Station, Pasay City,"Gil Puyat LRT-1 Station, Pasay City","",geocode_failed,"Gil Puyat LRT-1 Station, Pasay City"
51,"EDSA LRT-1 Station, Pasay City","Gil Puyat LRT-1 Station, Pasay City",geocode_failed,"origin or destination place"
UN Avenue LRT-1 Station, Manila City,"UN Avenue LRT-1 Station, Manila City","",geocode_failed,"UN Avenue LRT-1 Station, Manila City"
Monumento LRT-1 Station, Caloocan City,"Monumento LRT-1 Station, Caloocan City","",geocode_failed,"Monumento LRT-1 Station, Caloocan City"
52,"UN Avenue LRT-1 Station, Manila City","Monumento LRT-1 Station, Caloocan City",geocode_failed,"origin or destination place"
Fernando Poe Jr. LRT-1 Station, Quezon City,"Fernando Poe Jr. LRT-1 Station, Quezon City","",geocode_failed,"Fernando Poe Jr. LRT-1 Station, Quezon City"
Baclaran LRT-1 Station, Parañaque City,"Baclaran LRT-1 Station, Parañaque City","",geocode_failed,"Baclaran LRT-1 Station, Parañaque City"
53,"Fernando Poe Jr. LRT-1 Station, Quezon City","Baclaran LRT-1 Station, Parañaque City",geocode_failed,"origin or destination place"
Monumento EDSA Carousel Station, Caloocan City,"Monumento EDSA Carousel Station, Caloocan City","",geocode_failed,"Monumento EDSA Carousel Station, Caloocan City"
PITX EDSA Carousel Station, Parañaque City,"PITX EDSA Carousel Station, Parañaque City","",geocode_failed,"PITX EDSA Carousel Station, Parañaque City"
54,"Monumento EDSA Carousel Station, Caloocan City","PITX EDSA Carousel Station, Parañaque City",geocode_failed,"origin or destination place"
PITX EDSA Carousel Station, Parañaque City,"PITX EDSA Carousel Station, Parañaque City","",geocode_failed,"PITX EDSA Carousel Station, Parañaque City"
Monumento EDSA Carousel Station, Caloocan City,"Monumento EDSA Carousel Station, Caloocan City","",geocode_failed,"Monumento EDSA Carousel Station, Caloocan City"
55,"PITX EDSA Carousel Station, Parañaque City","Monumento EDSA Carousel Station, Caloocan City",geocode_failed,"origin or destination place"
Quezon Avenue EDSA Carousel Station, Quezon City,"Quezon Avenue EDSA Carousel Station, Quezon City","",geocode_failed,"Quezon Avenue EDSA Carousel Station, Quezon City"
Ayala EDSA Carousel Station, Makati City,"Ayala EDSA Carousel Station, Makati City","",geocode_failed,"Ayala EDSA Carousel Station, Makati City"
56,"Quezon Avenue EDSA Carousel Station, Quezon City","Ayala EDSA Carousel Station, Makati City",geocode_failed,"origin or destination place"
Main Avenue / Cubao EDSA Carousel Station, Quezon City,"Main Avenue / Cubao EDSA Carousel Station, Quezon City","",geocode_failed,"Main Avenue / Cubao EDSA Carousel Station, Quezon City"
Taft Avenue EDSA Carousel Station, Pasay City,"Taft Avenue EDSA Carousel Station, Pasay City","",geocode_failed,"Taft Avenue EDSA Carousel Station, Pasay City"
57,"Main Avenue / Cubao EDSA Carousel Station, Quezon City","Taft Avenue EDSA Carousel Station, Pasay City",geocode_failed,"origin or destination place"
Ortigas EDSA Carousel Station, Mandaluyong City,"Ortigas EDSA Carousel Station, Mandaluyong City","",geocode_failed,"Ortigas EDSA Carousel Station, Mandaluyong City"
PITX EDSA Carousel Station, Parañaque City,"PITX EDSA Carousel Station, Parañaque City","",geocode_failed,"PITX EDSA Carousel Station, Parañaque City"
58,"Ortigas EDSA Carousel Station, Mandaluyong City","PITX EDSA Carousel Station, Parañaque City",geocode_failed,"origin or destination place"
Ayala EDSA Carousel Station, Makati City,"Ayala EDSA Carousel Station, Makati City","",geocode_failed,"Ayala EDSA Carousel Station, Makati City"
PITX EDSA Carousel Station, Parañaque City,"PITX EDSA Carousel Station, Parañaque City","",geocode_failed,"PITX EDSA Carousel Station, Parañaque City"
59,"Ayala EDSA Carousel Station, Makati City","PITX EDSA Carousel Station, Parañaque City",geocode_failed,"origin or destination place"
McKinley Exchange / EDSA Ayala, Makati City,"McKinley Exchange / EDSA Ayala, Makati City","",geocode_failed,"McKinley Exchange / EDSA Ayala, Makati City"
Market! Market!, Bonifacio Global City, Taguig City,"Market! Market!, Bonifacio Global City, Taguig City","",geocode_failed,"Market! Market!, Bonifacio Global City, Taguig City"
60,"McKinley Exchange / EDSA Ayala, Makati City","Market! Market!, Bonifacio Global City, Taguig City",geocode_failed,"origin or destination place"
McKinley Exchange / EDSA Ayala, Makati City,"McKinley Exchange / EDSA Ayala, Makati City","",geocode_failed,"McKinley Exchange / EDSA Ayala, Makati City"
Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City,"Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City","",geocode_failed,"Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City"
61,"McKinley Exchange / EDSA Ayala, Makati City","Uptown Mall / Uptown Parade, Bonifacio Global City, Taguig City",geocode_failed,"origin or destination place"
Market! Market!, Bonifacio Global City, Taguig City,"Market! Market!, Bonifacio Global City, Taguig City","",geocode_failed,"Market! Market!, Bonifacio Global City, Taguig City"
McKinley Exchange / EDSA Ayala, Makati City,"McKinley Exchange / EDSA Ayala, Makati City","",geocode_failed,"McKinley Exchange / EDSA Ayala, Makati City"
62,"Market! Market!, Bonifacio Global City, Taguig City","McKinley Exchange / EDSA Ayala, Makati City",geocode_failed,"origin or destination place"
Pedro Gil Street / Taft Avenue, Manila City,"Pedro Gil Street / Taft Avenue, Manila City","",geocode_failed,"Pedro Gil Street / Taft Avenue, Manila City"
Quirino Avenue LRT-1 Area, Manila City,"Quirino Avenue LRT-1 Area, Manila City","",geocode_failed,"Quirino Avenue LRT-1 Area, Manila City"
67,"Pedro Gil Street / Taft Avenue, Manila City","Quirino Avenue LRT-1 Area, Manila City",geocode_failed,"origin or destination place"
Vito Cruz / De La Salle University Area, Manila City,"Vito Cruz / De La Salle University Area, Manila City","",geocode_failed,"Vito Cruz / De La Salle University Area, Manila City"
Gil Puyat / Buendia LRT-1 Area, Pasay City,"Gil Puyat / Buendia LRT-1 Area, Pasay City","",geocode_failed,"Gil Puyat / Buendia LRT-1 Area, Pasay City"
68,"Vito Cruz / De La Salle University Area, Manila City","Gil Puyat / Buendia LRT-1 Area, Pasay City",geocode_failed,"origin or destination place"
Guadalupe Nuevo / MRT Guadalupe Area, Makati City,"Guadalupe Nuevo / MRT Guadalupe Area, Makati City","",geocode_failed,"Guadalupe Nuevo / MRT Guadalupe Area, Makati City"
Kalayaan Avenue / BGC Gate Area, Taguig City,"Kalayaan Avenue / BGC Gate Area, Taguig City","",geocode_failed,"Kalayaan Avenue / BGC Gate Area, Taguig City"
69,"Guadalupe Nuevo / MRT Guadalupe Area, Makati City","Kalayaan Avenue / BGC Gate Area, Taguig City",geocode_failed,"origin or destination place"
Boni Avenue / Pinatubo Street Area, Mandaluyong City,"Boni Avenue / Pinatubo Street Area, Mandaluyong City","",geocode_failed,"Boni Avenue / Pinatubo Street Area, Mandaluyong City"
Pioneer Street / Robinsons Cybergate Area, Mandaluyong City,"Pioneer Street / Robinsons Cybergate Area, Mandaluyong City","",geocode_failed,"Pioneer Street / Robinsons Cybergate Area, Mandaluyong City"
70,"Boni Avenue / Pinatubo Street Area, Mandaluyong City","Pioneer Street / Robinsons Cybergate Area, Mandaluyong City",geocode_failed,"origin or destination place"
Divisoria / Tutuban Area, Manila City,"Divisoria / Tutuban Area, Manila City","",geocode_failed,"Divisoria / Tutuban Area, Manila City"
71,"Quiapo Church / Plaza Miranda, Manila City","Divisoria / Tutuban Area, Manila City",geocode_failed,"origin or destination place"
Taft Avenue / EDSA Rotonda, Pasay City,"Taft Avenue / EDSA Rotonda, Pasay City","",geocode_failed,"Taft Avenue / EDSA Rotonda, Pasay City"
72,"Taft Avenue / EDSA Rotonda, Pasay City","SM Mall of Asia, Pasay City",geocode_failed,"origin or destination place"
C5 Staffhouse / Market! Market! Area, Taguig City,"C5 Staffhouse / Market! Market! Area, Taguig City","",geocode_failed,"C5 Staffhouse / Market! Market! Area, Taguig City"
Upper McKinley / Venice Grand Canal Mall, Taguig City,"Upper McKinley / Venice Grand Canal Mall, Taguig City","",geocode_failed,"Upper McKinley / Venice Grand Canal Mall, Taguig City"
73,"C5 Staffhouse / Market! Market! Area, Taguig City","Upper McKinley / Venice Grand Canal Mall, Taguig City",geocode_failed,"origin or destination place"
SM North EDSA Transport Terminal, Quezon City,"SM North EDSA Transport Terminal, Quezon City","",geocode_failed,"SM North EDSA Transport Terminal, Quezon City"
Trinoma / North Avenue Area, Quezon City,"Trinoma / North Avenue Area, Quezon City","",geocode_failed,"Trinoma / North Avenue Area, Quezon City"
74,"SM North EDSA Transport Terminal, Quezon City","Trinoma / North Avenue Area, Quezon City",geocode_failed,"origin or destination place"
Welcome Rotonda / España Boulevard, Quezon City,"Welcome Rotonda / España Boulevard, Quezon City","",geocode_failed,"Welcome Rotonda / España Boulevard, Quezon City"
76,"Quezon Avenue / EDSA Area, Quezon City","Welcome Rotonda / España Boulevard, Quezon City",geocode_failed,"origin or destination place"
Ayala Avenue / Makati CBD, Makati City,"Ayala Avenue / Makati CBD, Makati City","",geocode_failed,"Ayala Avenue / Makati CBD, Makati City"
77,"Ayala Avenue / Makati CBD, Makati City","Buendia / Gil Puyat Avenue, Makati City",geocode_failed,"origin or destination place"